
Point_Count: 853 
ID  N     Value
--- ----- ---------------------------
2   62    0.0151210593519 
3   93    0.0185842888624 
4   125   0.0171253441771 
5   156   0.017033068245 
6   183   0.0297045617017 
7   214   0.0316333642103 
8   244   0.0185319611999 
9   275   0.0108903903318 
10  306   0.013931516269 
11  346   0.0107077799228 
12  365   0.00626538353186 
